class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Cider,0.4,0.6364,0.4912,0.3256,88,56,32,84,247,0.7533
IPA,0.5,0.0533,0.0964,0.0506,75,4,71,4,340,0.5722
Lager,0.3824,0.2241,0.2826,0.1646,58,13,45,21,340,0.6605
Stout,0.9342,0.6827,0.7889,0.6514,104,71,33,5,310,0.8943
Wheat,0.4783,0.8191,0.6039,0.4326,94,77,17,84,241,0.826
