class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.9688,0.9394,0.9538,0.9117,33,31,2,1,227,0.9774
rose wine,0.9462,0.9888,0.967,0.9361,89,88,1,5,167,0.9961
Sauvignon blanc,0.6757,0.8065,0.7353,0.5814,31,25,6,12,218,0.9396
Chardonnay,0.7407,0.625,0.678,0.5129,32,20,12,7,222,0.8962
Cabernet Sauvignon,0.5625,0.6207,0.5902,0.4186,29,18,11,14,218,0.8692
Pinot Noir,0.5833,0.6087,0.5957,0.4242,23,14,9,10,228,0.8813
Malbec,0.5625,0.375,0.45,0.2903,24,9,15,7,230,0.7795
