class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Cider,0.504,0.7159,0.5915,0.42,88,63,25,62,269,0.8289
IPA,0.5797,0.5333,0.5556,0.3847,75,40,35,29,315,0.8366
Lager,0.5152,0.2931,0.3736,0.2297,58,17,41,16,345,0.755
Stout,0.9681,0.875,0.9192,0.8505,104,91,13,3,312,0.961
Wheat,0.6429,0.6702,0.6562,0.4883,94,63,31,35,290,0.836
