class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.46,0.697,0.5542,0.3833,33,23,10,27,201,0.7577
rose wine,0.7024,0.6629,0.6821,0.5176,89,59,30,25,147,0.7755
Sauvignon blanc,0.0,0.0,0.0,0.0,31,0,31,2,228,0.4612
Chardonnay,0.2985,0.625,0.404,0.2531,32,20,12,47,182,0.8017
Cabernet Sauvignon,0.3871,0.4138,0.4,0.25,29,12,17,19,213,0.862
Pinot Noir,0.16,0.1739,0.1667,0.0909,23,4,19,21,217,0.7597
Malbec,0.5,0.0417,0.0769,0.04,24,1,23,1,236,0.7385
