class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.4762,0.303,0.3704,0.2273,33,10,23,11,217,0.5987
rose wine,0.7245,0.7978,0.7594,0.6121,89,71,18,27,145,0.8954
Sauvignon blanc,0.2857,0.0645,0.1053,0.0556,31,2,29,5,225,0.5846
Chardonnay,0.3594,0.7188,0.4792,0.3151,32,23,9,41,188,0.8214
Cabernet Sauvignon,0.3582,0.8276,0.5,0.3333,29,24,5,43,189,0.8661
Pinot Noir,1.0,0.0435,0.0833,0.0435,23,1,22,0,238,0.6387
Malbec,0.3333,0.0417,0.0741,0.0385,24,1,23,2,235,0.7064
