class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.2308,0.2727,0.25,0.1429,33,9,24,30,198,0.7141
rose wine,0.6195,0.7865,0.6931,0.5303,89,70,19,43,129,0.8334
Sauvignon blanc,0.2989,0.8387,0.4407,0.2826,31,26,5,61,169,0.844
Chardonnay,0.4286,0.0938,0.1538,0.0833,32,3,29,4,225,0.631
Cabernet Sauvignon,0.4,0.069,0.1176,0.0625,29,2,27,3,229,0.6068
Pinot Noir,0.6,0.1304,0.2143,0.12,23,3,20,2,236,0.6105
Malbec,0.4,0.0833,0.1379,0.0741,24,2,22,3,234,0.6872
