class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.725,0.8788,0.7945,0.6591,33,29,4,11,217,0.9339
rose wine,0.9048,0.8539,0.8786,0.7835,89,76,13,8,164,0.9081
Sauvignon blanc,0.375,0.6774,0.4828,0.3182,31,21,10,35,195,0.8518
Chardonnay,0.5,0.125,0.2,0.1111,32,4,28,4,225,0.7196
Cabernet Sauvignon,0.3684,0.2414,0.2917,0.1708,29,7,22,12,220,0.8468
Pinot Noir,0.5,0.4348,0.4651,0.303,23,10,13,10,228,0.8244
Malbec,0.3824,0.5417,0.4483,0.2889,24,13,11,21,216,0.8824
