class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.7568,0.8485,0.8,0.6667,33,28,5,9,219,0.9625
rose wine,0.9195,0.8989,0.9091,0.8333,89,80,9,7,165,0.9521
Sauvignon blanc,0.4634,0.6129,0.5278,0.3585,31,19,12,22,208,0.8534
Chardonnay,0.5417,0.4062,0.4643,0.3023,32,13,19,11,218,0.7638
Cabernet Sauvignon,0.48,0.4138,0.4444,0.2857,29,12,17,13,219,0.6625
Pinot Noir,0.5263,0.4348,0.4762,0.3125,23,10,13,9,229,0.8078
Malbec,0.4286,0.5,0.4615,0.3,24,12,12,16,221,0.7566
