class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.9375,0.9091,0.9231,0.8572,33,30,3,2,226,0.9545
rose wine,0.9062,0.9775,0.9405,0.8877,89,87,2,9,163,0.9824
Sauvignon blanc,0.5625,0.5806,0.5714,0.4,31,18,13,14,216,0.8955
Chardonnay,0.6429,0.5625,0.6,0.4286,32,18,14,10,219,0.8816
Cabernet Sauvignon,0.6296,0.5862,0.6071,0.4359,29,17,12,10,222,0.8433
Pinot Noir,0.5417,0.5652,0.5532,0.3824,23,13,10,11,227,0.8972
Malbec,0.4545,0.4167,0.4348,0.2778,24,10,14,12,225,0.7695
