class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Cider,0.5038,0.7614,0.6063,0.435,88,67,21,66,265,0.8202
IPA,0.5972,0.5733,0.585,0.4134,75,43,32,29,315,0.8037
Lager,0.5429,0.3276,0.4086,0.2568,58,19,39,16,345,0.7079
Stout,0.9158,0.8365,0.8744,0.7768,104,87,17,8,307,0.9326
Wheat,0.7262,0.6489,0.6854,0.5214,94,61,33,23,302,0.8141
