class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.7879,0.7879,0.7879,0.65,33,26,7,7,221,0.8905
rose wine,0.8617,0.9101,0.8852,0.794,89,81,8,13,159,0.9524
Sauvignon blanc,0.4194,0.4194,0.4194,0.2653,31,13,18,18,212,0.8135
Chardonnay,0.4839,0.4688,0.4762,0.3125,32,15,17,16,213,0.8783
Cabernet Sauvignon,0.4483,0.4483,0.4483,0.2889,29,13,16,16,216,0.7718
Pinot Noir,0.4444,0.3478,0.3902,0.2424,23,8,15,10,228,0.7304
Malbec,0.44,0.4583,0.449,0.2895,24,11,13,14,223,0.8446
