class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.8065,0.7576,0.7812,0.641,33,25,8,6,222,0.8763
rose wine,0.908,0.8876,0.8977,0.8144,89,79,10,8,164,0.9407
Sauvignon blanc,0.3939,0.4194,0.4062,0.2549,31,13,18,20,210,0.7838
Chardonnay,0.4706,0.5,0.4848,0.32,32,16,16,18,211,0.8017
Cabernet Sauvignon,0.4545,0.5172,0.4839,0.3192,29,15,14,18,214,0.8352
Pinot Noir,0.4615,0.5217,0.4898,0.3243,23,12,11,14,224,0.8617
Malbec,0.5294,0.375,0.439,0.2812,24,9,15,8,229,0.8224
