class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Cider,0.7237,0.625,0.6707,0.5046,88,55,33,21,310,0.847
IPA,0.5909,0.6933,0.638,0.4684,75,52,23,36,308,0.8682
Lager,0.5385,0.4828,0.5091,0.3415,58,28,30,24,337,0.7927
Stout,0.8922,0.875,0.8835,0.7913,104,91,13,11,304,0.9433
Wheat,0.6733,0.7234,0.6974,0.5354,94,68,26,33,292,0.8633
