class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Cider,0.58,0.6591,0.617,0.4461,88,58,30,42,289,0.8106
IPA,0.6,0.72,0.6545,0.4864,75,54,21,36,308,0.8558
Lager,0.5106,0.4138,0.4571,0.2963,58,24,34,23,338,0.7068
Stout,0.8627,0.8462,0.8544,0.7458,104,88,16,14,301,0.9314
Wheat,0.6875,0.5851,0.6322,0.4622,94,55,39,25,300,0.8208
