class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.8571,0.7273,0.7869,0.6487,33,24,9,4,224,0.8483
rose wine,0.9101,0.9101,0.9101,0.835,89,81,8,8,164,0.9392
Sauvignon blanc,0.5652,0.4194,0.4815,0.3171,31,13,18,10,220,0.847
Chardonnay,0.5217,0.75,0.6154,0.4445,32,24,8,22,207,0.903
Cabernet Sauvignon,0.5294,0.3103,0.3913,0.2432,29,9,20,8,224,0.7669
Pinot Noir,0.3571,0.4348,0.3922,0.2439,23,10,13,18,220,0.8255
Malbec,0.4667,0.5833,0.5185,0.35,24,14,10,16,221,0.8254
