class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Cider,0.6161,0.7841,0.69,0.5267,88,69,19,43,288,0.8912
IPA,0.7568,0.7467,0.7517,0.6022,75,56,19,18,326,0.8786
Lager,0.6154,0.5517,0.5818,0.4102,58,32,26,20,341,0.8378
Stout,0.9794,0.9135,0.9453,0.8963,104,95,9,2,313,0.9721
Wheat,0.8571,0.766,0.809,0.6793,94,72,22,12,313,0.9034
