class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.8519,0.697,0.7667,0.6217,33,23,10,4,224,0.9192
rose wine,0.8333,0.8989,0.8649,0.762,89,80,9,16,156,0.9131
Sauvignon blanc,0.6207,0.5806,0.6,0.4286,31,18,13,11,219,0.8202
Chardonnay,0.6061,0.625,0.6154,0.4445,32,20,12,13,216,0.8594
Cabernet Sauvignon,0.5882,0.3448,0.4348,0.2778,29,10,19,7,225,0.7514
Pinot Noir,0.3158,0.5217,0.3934,0.2449,23,12,11,26,212,0.6799
Malbec,0.381,0.3333,0.3556,0.2162,24,8,16,13,224,0.7017
