class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.5429,0.5758,0.5588,0.3877,33,19,14,16,212,0.7931
rose wine,0.8077,0.7079,0.7545,0.6058,89,63,26,15,157,0.8805
Sauvignon blanc,0.3846,0.3226,0.3509,0.2128,31,10,21,16,214,0.7372
Chardonnay,0.4762,0.625,0.5405,0.3703,32,20,12,22,207,0.8273
Cabernet Sauvignon,0.3279,0.6897,0.4444,0.2857,29,20,9,41,191,0.8498
Pinot Noir,0.4737,0.3913,0.4286,0.2728,23,9,14,10,228,0.7824
Malbec,0.0,0.0,0.0,0.0,24,0,24,0,237,0.621
