class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Chardonnay,0.6765,0.7188,0.697,0.5349,32,23,9,11,498,0.8131
Sauvignon blanc,0.6071,0.5484,0.5763,0.4048,31,17,14,11,499,0.8329
orange wine,0.8333,0.9091,0.8696,0.7693,33,30,3,6,502,0.9526
rose wine,0.9659,0.9551,0.9605,0.924,89,85,4,3,449,0.9731
Cabernet Sauvignon,0.4615,0.6207,0.5294,0.36,29,18,11,21,491,0.845
Malbec,0.4167,0.2083,0.2778,0.1613,24,5,19,7,510,0.5069
Pinot Noir,0.5185,0.6087,0.56,0.3889,23,14,9,13,505,0.8386
Wheat,0.7586,0.6984,0.7273,0.5715,63,44,19,14,464,0.8833
Cider,0.6809,0.5424,0.6038,0.4325,59,32,27,15,467,0.8553
IPA,0.5455,0.72,0.6207,0.45,50,36,14,30,461,0.9255
Lager,0.6571,0.5897,0.6216,0.451,39,23,16,12,490,0.8865
Stout,0.9296,0.9565,0.9429,0.892,69,66,3,5,467,0.9914
