class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.8125,0.7879,0.8,0.6667,33,26,7,6,222,0.9181
rose wine,0.8438,0.9101,0.8757,0.7789,89,81,8,15,157,0.9533
Sauvignon blanc,0.4688,0.4839,0.4762,0.3125,31,15,16,17,213,0.856
Chardonnay,0.5333,0.5,0.5161,0.3478,32,16,16,14,215,0.7553
Cabernet Sauvignon,0.48,0.4138,0.4444,0.2857,29,12,17,13,219,0.735
Pinot Noir,0.4643,0.5652,0.5098,0.3421,23,13,10,15,223,0.7718
Malbec,0.4444,0.3333,0.381,0.2353,24,8,16,10,227,0.7544
