class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Chardonnay,0.6538,0.5312,0.5862,0.4146,32,17,15,9,639,0.662
Sauvignon blanc,0.4902,0.8065,0.6098,0.4386,31,25,6,26,623,0.9039
orange wine,0.9,0.8182,0.8571,0.7499,33,27,6,3,644,0.9509
rose wine,0.8737,0.9326,0.9022,0.8218,89,83,6,12,579,0.9786
Cabernet Sauvignon,0.5484,0.5862,0.5667,0.3954,29,17,12,14,637,0.8561
Malbec,0.5909,0.5417,0.5652,0.3939,24,13,11,9,647,0.7937
Pinot Noir,0.7143,0.4348,0.5405,0.3703,23,10,13,4,653,0.778
Wheat,0.8429,0.6277,0.7195,0.5619,94,59,35,11,575,0.8881
Cider,0.3958,0.4318,0.413,0.2602,88,38,50,58,534,0.7919
IPA,0.6375,0.68,0.6581,0.4904,75,51,24,29,576,0.9123
Lager,0.4143,0.5,0.4531,0.2929,58,29,29,41,581,0.8306
Stout,0.9158,0.8365,0.8744,0.7768,104,87,17,8,568,0.947
