class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.75,0.8182,0.7826,0.6428,33,27,6,9,219,0.9311
rose wine,0.8966,0.8764,0.8864,0.796,89,78,11,9,163,0.9299
Sauvignon blanc,0.5,0.6452,0.5634,0.3922,31,20,11,20,210,0.8898
Chardonnay,0.5909,0.4062,0.4815,0.3171,32,13,19,9,220,0.8507
Cabernet Sauvignon,0.4333,0.4483,0.4407,0.2826,29,13,16,17,215,0.6692
Pinot Noir,0.381,0.3478,0.3636,0.2222,23,8,15,13,225,0.6976
Malbec,0.4,0.4167,0.4082,0.2564,24,10,14,15,222,0.7162
