class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.9048,0.76,0.8261,0.7037,25,19,6,,,
rose wine,0.8261,0.9194,0.8702,0.7702,62,57,5,,,
Sauvignon blanc,0.6667,0.6667,0.6667,0.5,24,16,8,,,
Chardonnay,0.6364,0.56,0.5957,0.4242,25,14,11,,,
Cabernet Sauvignon,0.5,0.6087,0.549,0.3784,23,14,9,,,
Pinot Noir,0.5,0.4737,0.4865,0.3214,19,9,10,,,
Malbec,0.4667,0.3684,0.4118,0.2593,19,7,12,,,
