class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.7632,0.8788,0.8169,0.6905,33,29,4,9,219,0.9389
rose wine,0.9059,0.8652,0.8851,0.7939,89,77,12,8,164,0.9182
Sauvignon blanc,0.4878,0.6452,0.5556,0.3847,31,20,11,21,209,0.8764
Chardonnay,0.6364,0.4375,0.5185,0.35,32,14,18,8,221,0.8732
Cabernet Sauvignon,0.4074,0.3793,0.3929,0.2445,29,11,18,16,216,0.7359
Pinot Noir,0.375,0.3913,0.383,0.2369,23,9,14,15,223,0.781
Malbec,0.2917,0.2917,0.2917,0.1708,24,7,17,17,220,0.7521
