class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.7879,0.7879,0.7879,0.65,33,26,7,7,221,0.9266
rose wine,0.8817,0.9213,0.9011,0.82,89,82,7,11,161,0.9538
Sauvignon blanc,0.4,0.4516,0.4242,0.2692,31,14,17,21,209,0.8572
Chardonnay,0.48,0.375,0.4211,0.2667,32,12,20,13,216,0.7118
Cabernet Sauvignon,0.3929,0.3793,0.386,0.2392,29,11,18,17,215,0.6788
Pinot Noir,0.3478,0.3478,0.3478,0.2105,23,8,15,15,223,0.715
Malbec,0.4167,0.4167,0.4167,0.2632,24,10,14,14,223,0.7293
