class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.7714,0.8182,0.7941,0.6585,33,27,6,8,220,0.9228
rose wine,0.907,0.8764,0.8914,0.8041,89,78,11,8,164,0.9465
Sauvignon blanc,0.4688,0.4839,0.4762,0.3125,31,15,16,17,213,0.8201
Chardonnay,0.5385,0.6562,0.5915,0.42,32,21,11,18,211,0.8296
Cabernet Sauvignon,0.4583,0.3793,0.4151,0.2619,29,11,18,13,219,0.7321
Pinot Noir,0.4783,0.4783,0.4783,0.3143,23,11,12,12,226,0.7163
Malbec,0.3636,0.3333,0.3478,0.2105,24,8,16,14,223,0.6911
