class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Cider,0.7158,0.7727,0.7432,0.5913,88,68,20,27,304,0.903
IPA,0.7,0.7467,0.7226,0.5657,75,56,19,24,320,0.8929
Lager,0.7083,0.5862,0.6415,0.4722,58,34,24,14,347,0.8259
Stout,0.9792,0.9038,0.94,0.8868,104,94,10,2,313,0.9705
Wheat,0.77,0.8191,0.7938,0.6581,94,77,17,23,302,0.9215
