class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Chardonnay,0.5625,0.5625,0.5625,0.3913,32,18,14,14,634,0.8092
Sauvignon blanc,0.525,0.6774,0.5915,0.42,31,21,10,19,630,0.8463
orange wine,0.8286,0.8788,0.8529,0.7435,33,29,4,6,641,0.9696
rose wine,0.8913,0.9213,0.9061,0.8283,89,82,7,10,581,0.9812
Cabernet Sauvignon,0.5926,0.5517,0.5714,0.4,29,16,13,11,640,0.8603
Malbec,0.4,0.4167,0.4082,0.2564,24,10,14,15,641,0.771
Pinot Noir,0.6,0.3913,0.4737,0.3104,23,9,14,6,651,0.8157
Wheat,0.7528,0.7128,0.7322,0.5775,94,67,27,22,564,0.9089
Cider,0.5698,0.5568,0.5632,0.392,88,49,39,37,555,0.8343
IPA,0.6582,0.6933,0.6753,0.5098,75,52,23,27,578,0.9117
Lager,0.459,0.4828,0.4706,0.3077,58,28,30,33,589,0.7934
Stout,0.9091,0.8654,0.8867,0.7965,104,90,14,9,567,0.9518
