class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.7778,0.8485,0.8116,0.6829,33,28,5,8,220,0.9322
rose wine,0.8977,0.8876,0.8927,0.8062,89,79,10,9,163,0.931
Sauvignon blanc,0.4286,0.7742,0.5517,0.3809,31,24,7,32,198,0.9015
Chardonnay,0.5455,0.1875,0.2791,0.1622,32,6,26,5,224,0.7565
Cabernet Sauvignon,0.4783,0.3793,0.4231,0.2683,29,11,18,12,220,0.7616
Pinot Noir,0.375,0.3913,0.383,0.2369,23,9,14,15,223,0.7557
Malbec,0.4348,0.4167,0.4255,0.2702,24,10,14,13,224,0.7792
