class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
Chardonnay,0.5294,0.5625,0.5455,0.375,32,18,14,16,632,0.8033
Sauvignon blanc,0.4872,0.6129,0.5429,0.3726,31,19,12,20,629,0.8458
orange wine,0.9,0.8182,0.8571,0.7499,33,27,6,3,644,0.9369
rose wine,0.9111,0.9213,0.9162,0.8454,89,82,7,8,583,0.983
Cabernet Sauvignon,0.4737,0.3103,0.375,0.2308,29,9,20,10,641,0.7696
Malbec,0.3889,0.2917,0.3333,0.2,24,7,17,11,645,0.7554
Pinot Noir,0.4815,0.5652,0.52,0.3514,23,13,10,14,643,0.9168
Wheat,0.6355,0.7234,0.6766,0.5113,94,68,26,39,547,0.9047
Cider,0.5568,0.5568,0.5568,0.3858,88,49,39,39,553,0.8251
IPA,0.6375,0.68,0.6581,0.4904,75,51,24,29,576,0.8426
Lager,0.5417,0.4483,0.4906,0.325,58,26,32,22,600,0.7758
Stout,0.89,0.8558,0.8725,0.7738,104,89,15,11,565,0.942
