class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.8485,0.8485,0.8485,0.7369,33,28,5,5,223,0.956
rose wine,0.8901,0.9101,0.9,0.8182,89,81,8,10,162,0.9425
Sauvignon blanc,0.5161,0.5161,0.5161,0.3478,31,16,15,15,215,0.7862
Chardonnay,0.5806,0.5625,0.5714,0.4,32,18,14,13,216,0.8485
Cabernet Sauvignon,0.5185,0.4828,0.5,0.3333,29,14,15,13,219,0.732
Pinot Noir,0.3684,0.3043,0.3333,0.2,23,7,16,12,226,0.7272
Malbec,0.4138,0.5,0.4528,0.2927,24,12,12,17,220,0.7257
