class,Precision,Recall,F1,IoU,Samples,TP,FN,FP,TN,AUC
orange wine,0.5,0.4545,0.4762,0.3125,33,15,18,15,213,0.7174
rose wine,0.8158,0.6966,0.7515,0.6019,89,62,27,14,158,0.845
Sauvignon blanc,0.3,0.0968,0.1463,0.0789,31,3,28,7,223,0.5543
Chardonnay,0.3294,0.875,0.4786,0.3146,32,28,4,57,172,0.8684
Cabernet Sauvignon,0.4333,0.4483,0.4407,0.2826,29,13,16,17,215,0.8237
Pinot Noir,0.375,0.1304,0.1935,0.1071,23,3,20,5,233,0.7608
Malbec,0.2273,0.2083,0.2174,0.122,24,5,19,17,220,0.8143
